Address,Property URL,City,Lot Size (AC),Price,Property Type,
3311 Ideal Drive Dr,https://www.loopnet.com/Listing/3311-Ideal-Drive-Dr-Frederick-CO/35744244/,"Frederick, CO 80516",1," $949,000.00 ",Commercial Lot,
2121 Main Street St,https://www.loopnet.com/Listing/2121-Main-Street-St-Longmont-CO/38312218/,"Longmont, CO 80501",1," $1,098,017.00 ",Commercial Lot,
12015 Irma Dr,https://www.loopnet.com/Listing/12015-Irma-Dr-Northglenn-CO/34662093/,"Northglenn, CO 80241",1," $1,098,017.00 ",Commercial Lot,
6683 Crossroads Blvd,https://www.loopnet.com/Listing/6683-Crossroads-Blvd-Windsor-CO/21654107/,"Windsor, CO 80550",1," $1,098,017.00 ",Commercial Lots,
12325 Pine Bluffs Way,https://www.loopnet.com/Listing/12325-Pine-Bluffs-Way-Parker-CO/37153058/,"Parker, CO 80134",1," $1,100,000.00 ",Commercial Lot,
4084 Wadsworth Blvd,https://www.loopnet.com/Listing/4084-Wadsworth-Blvd-Wheat-Ridge-CO/36950718/,"Wheat Ridge, CO 80033",1.01," $929,773.31 ",Commercial Lot,
"128, 144, & 154 Mountain Ave",https://www.loopnet.com/Listing/128-144-154-Mountain-Ave/39730151/,"Berthoud, CO",1.01," $1,104,493.26 ",Land Properties,
TBD Sculptor Dr,https://www.loopnet.com/Listing/TBD-Sculptor-Dr-Loveland-CO/23977644/,"Loveland, CO 80537",1.01," $1,104,493.26 ",Commercial Lot,
740 Champion Dr,https://www.loopnet.com/Listing/740-Champion-Dr-Windsor-CO/34800727/,"Windsor, CO 80550",1.01," $1,104,493.26 ",Commercial Lot,
2120 University Park Blvd,https://www.loopnet.com/Listing/2120-University-Park-Blvd-Colorado-Springs-CO/27680798/,"Colorado Springs, CO 80918",1.02," $295,000.00 ",Commercial Lot,
7029 S Kenton St,https://www.loopnet.com/Listing/7029-S-Kenton-St-Centennial-CO/6542017/,"Centennial, CO 80112",1.02," $710,896.00 ",Commercial Lot,
104th Ave,https://www.loopnet.com/Listing/104th-Ave-Commerce-City-CO/24131525/,"Commerce City, CO 80022",1.06," $692,509.00 ",Commercial Lot,
7740 Adventure Way,https://www.loopnet.com/Listing/7740-Adventure-Way-Colorado-Springs-CO/32892601/,"Colorado Springs, CO 80923",1.06," $844,000.00 ",Commercial Lot,
2850 S Prairie Ave,https://www.loopnet.com/Listing/2850-S-Prairie-Ave-Pueblo-CO/37721936/,"Pueblo, CO 81005",1.09," $575,000.00 ",Commercial Lot,
I-70 & Chambers Rd,https://www.loopnet.com/Listing/I-70-Chambers-Rd-Aurora-CO/33827595/,"Aurora, CO 80011",1.1," $955,174.10 ",Commercial Lot,
Colfax Ave & Airport Blvd,https://www.loopnet.com/Listing/Colfax-Ave-Airport-Blvd-Aurora-CO/24946845/,"Aurora, CO 80011",1.1," $955,174.10 ",Industrial Lot,
9620 Federal Blvd,https://www.loopnet.com/Listing/9620-Federal-Blvd-Denver-CO/19104965/,"Denver, CO 80260",1.1," $1,200,000.00 ",Commercial Lot,
